Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Team,Round,Pick,side,category,pos_abbr,school_abbr,overall,pos_rk,ovr_rk,grade
Allen Reisner,2.0529962729792444,0.07839136477728198,0.10869111539713086,0.39263826692901566,-1.0919309389609855,-1.09526808176824,-0.6542555984131362,0.3842839406218497,0.02913255943161301,2011,,,,,,8,0,,18,285,33
Shaquelle Evans,-1.196775430716313,-0.303522641512854,-0.6668772470045844,-0.8811573670879879,0.3198392536549426,-1.2522575520245507,0.843298042132339,0.3842839406218497,0.02913255943161301,2014,25,4,115,0,3,,,,,,
D.J. Ware,-0.7634725368902386,-0.68543664780299,-0.40096809418113916,-0.5545431019554216,NaN,0.003658210025933549,NaN,NaN,NaN,2007,,,,,,,,,,,
Courtney Brown,-0.5468210899772016,1.22413338364769,0.57403213283816,7.011487699378623E-4,NaN,NaN,NaN,NaN,NaN,2000,2,1,1,1,1,5,118,212,21,157,59
Brian Robiskie,-1.196775430716313,0.460305371067418,-0.7555136312790661,-1.0444644996542696,1.0257243499629065,NaN,NaN,-1.4262041238547467,0.02913255943161301,2009,2,2,36,0,3,0,2,36,10,72,77
Brian Orakpo,-0.5468210899772016,0.460305371067418,0.44107755642643737,-0.4892202489289101,1.4963144141682159,1.5735529125890388,NaN,NaN,NaN,2009,28,1,13,1,4,2,16,13,2,9,95
Billy Price,1.6196933791531698,0.842219377357554,1.3717595913084957,NaN,NaN,NaN,NaN,NaN,NaN,2018,,,,0,2,18,2,21,3,33,86
Vincent Taylor,-0.11351819615112724,0.460305371067418,1.3496004952398752,0.9478825176543751,-1.0919309389609855,0.7886055613074862,-0.6542555984131362,0.3842839406218497,0.02913255943161301,2017,18,6,194,1,1,4,33,194,15,151,60
Jonas Crafts,0.7530875915010213,0.460305371067418,0.08653201932851042,0.359976840415757,NaN,0.4746266207948651,NaN,NaN,NaN,2005,,,,,,8,84,,17,273,42
Adam Terry,-0.3301696430641644,2.369875402518098,1.9257369930240065,2.0257095925918382,-1.0919309389609855,NaN,-1.9378730045949721,0.3842839406218497,0.02913255943161301,2005,1,2,64,0,2,3,48,64,5,57,84
Oday Aboushi,-0.3301696430641644,1.22413338364769,1.438236879514357,2.058371019105094,-2.2684060994742588,-0.6242996709993085,-1.5100005358676933,0.3842839406218497,0.02913255943161301,2013,25,5,141,0,2,7,41,141,9,140,62
Gary Russell,-0.7634725368902386,-1.449264660383262,-0.31233170990665743,-0.031960277743320796,-0.38604584265302144,-1.8802154330497927,-0.11941501250403788,NaN,0.02913255943161301,2007,,,,,,,,,,,
Leonard Fournette,-0.7634725368902386,-0.68543664780299,-0.06858165315183262,-0.8811573670879879,-1.0919309389609855,NaN,NaN,NaN,NaN,2017,20,1,4,0,5,1,1,4,1,4,93
Josh Sweat,2.7029506137183557,0.842219377357554,0.17516840360299216,-0.8158345140614734,1.4963144141682159,NaN,1.0572342764959783,NaN,0.02913255943161301,2018,,,,1,1,2,5,130,5,72,77
Calvin Dawson,-0.7634725368902386,-2.213092672963534,-0.9771045919652704,-0.9138187936012436,NaN,NaN,NaN,NaN,NaN,2008,,,,,,,,,,,
Bryan Thomas,-0.5468210899772016,0.842219377357554,0.5075548446322987,-1.0118030731410137,0.3198392536549426,1.8875318531016598,NaN,NaN,NaN,2002,25,1,22,1,1,1,39,132,,,
Brandon Linder,0.31978469767494705,1.606047389937826,1.5047141677202183,1.8624024600255538,-1.5625210031662948,1.4165634423327282,-1.5100005358676933,NaN,NaN,2014,20,3,93,0,2,7,8,93,8,154,56
Efrem Hill,-1.196775430716313,-0.68543664780299,-1.4202865133376792,-0.6525273814951917,1.0257243499629065,NaN,1.0572342764959783,0.3842839406218497,0.02913255943161301,2005,,,,,,0,135,,39,318,34
Leonard Peters,1.1863904853270957,-0.303522641512854,-0.7333545352104457,0.06602400179644938,-0.1507508105503668,0.003658210025933549,-0.44031936404949684,0.3842839406218497,NaN,2007,,,,,,,,,,,
Rod Gardner,-1.196775430716313,0.07839136477728198,-0.5339226705928618,-0.9791416466277552,NaN,NaN,NaN,NaN,NaN,2001,28,1,15,0,3,0,14,15,,,
DeMario Pressley,-0.11351819615112724,0.460305371067418,1.283123207034014,1.0132053706808866,-1.7978160352689496,1.1025845018201073,-1.5100005358676933,NaN,NaN,2008,27,5,144,1,1,4,43,144,10,100,70
D.J. Foster,-1.196775430716313,-1.449264660383262,-1.1100591683769931,-0.6851888080084475,0.5551342857575973,-1.09526808176824,0.3084574562232408,-1.4262041238547467,0.02913255943161301,2016,,,,,,0,29,,31,216,49
Deuce Lutui,0.31978469767494705,0.842219377357554,2.0143733772984884,1.8624024600255538,-1.0919309389609855,0.7886055613074862,-1.8309048874131524,2.194772005098446,0.02913255943161301,2006,11,2,41,0,2,7,3,41,3,59,83
Lofa Tatupu,0.9697390384140585,-0.68543664780299,-0.1128998452890735,0.16400828133621956,0.5551342857575973,0.31763715053855457,-0.11941501250403788,0.3842839406218497,0.02913255943161301,2005,0,2,45,1,4,9,3,45,6,137,65
Bennie Fowler,-1.196775430716313,-0.303522641512854,-0.5782408627301027,-0.8484959405747321,0.790429317860252,NaN,1.2711705108596176,0.3842839406218497,0.02913255943161301,2014,,,,,,0,31,,41,300,33
Darcel McBath,1.1863904853270957,-0.68543664780299,-0.9992636880338909,-0.8158345140614734,1.2610193820655613,-1.09526808176824,0.5223936905868801,-1.4262041238547467,0.02913255943161301,2009,13,2,48,1,0,12,63,48,6,101,69
Kenneth Pettway,0.1031332507619099,0.460305371067418,-0.15721803742631438,-0.2932516898493697,-0.1507508105503668,0.16064768028224408,-0.012446895322218222,0.3842839406218497,0.02913255943161301,2005,16,7,227,1,1,9,87,227,22,341,31
Marcus Thomas-01,-0.11351819615112724,0.460305371067418,1.5711914559260796,1.4704653418664788,NaN,0.9455950315637967,NaN,NaN,NaN,2007,13,4,121,,,,,,,,
Adrian Hubbard,0.1031332507619099,1.606047389937826,0.3081229800147148,-0.2932516898493697,1.2610193820655613,NaN,0.3084574562232408,NaN,NaN,2014,,,,,,10,6,,9,104,67
Ron Edwards,-0.11351819615112724,0.460305371067418,1.1058504384850505,0.2619925608759897,NaN,NaN,NaN,NaN,NaN,2001,7,3,76,1,1,4,17,76,,,
Jarrett Payton,-0.7634725368902386,-0.68543664780299,-0.5117635745242414,-0.3912359693891399,-0.38604584265302144,NaN,0.09452122185960143,0.3842839406218497,0.02913255943161301,2004,,,,,,,,,,,
Howard Wilson,-0.9801239838032758,-0.303522641512854,-1.309491032994577,-0.6851888080084475,0.0845442215522879,NaN,0.5223936905868801,-1.4262041238547467,-3.839318211150997,2017,2,4,126,1,0,6,78,126,18,133,66
Kevin Curtis-01,1.1863904853270957,0.07839136477728198,-0.6890363430732048,-0.8158345140614734,1.0257243499629065,0.4746266207948651,1.0572342764959783,-1.4262041238547467,-3.839318211150997,2002,4,4,127,,,,,,,,
Guy Whimper,-0.3301696430641644,1.22413338364769,1.3496004952398752,0.5886068260085531,-0.8566359068583308,0.7886055613074862,-1.296064301504054,0.3842839406218497,0.02913255943161301,2006,30,4,129,1,1,3,77,129,9,119,67
Robert Alford,-0.9801239838032758,-1.449264660383262,-1.2208546487200953,-1.2730944852470656,1.7316094462708707,-0.6242996709993085,1.9129792139505357,-1.4262041238547467,0.02913255943161301,2013,21,2,60,1,0,6,136,60,10,67,78
Jason Brown,1.6196933791531698,0.460305371067418,1.5490323598574591,2.0257095925918382,-0.6213408747556761,0.31763715053855457,-0.9751599499585951,0.3842839406218497,0.02913255943161301,2005,1,4,124,0,2,14,28,124,4,102,71
Dexter McDougle,-0.9801239838032758,-1.449264660383262,-1.0435818801711318,-1.0118030731410137,NaN,NaN,NaN,NaN,NaN,2014,25,3,80,1,0,,,,,,
Antonio Coleman,0.1031332507619099,-0.303522641512854,0.2638047878774739,-0.06462170425657655,NaN,-0.467310200742998,-0.11941501250403788,NaN,NaN,2010,,,,,,,,,,,
Jamaal Anderson,-0.5468210899772016,1.22413338364769,0.9950549581419482,-0.0972831307698323,NaN,NaN,NaN,NaN,NaN,2007,21,1,8,1,1,2,21,8,2,11,95
Tyrone Goard,-1.196775430716313,0.842219377357554,-0.8441500155535479,-0.9138187936012436,0.790429317860252,-1.7232259627934823,0.9502661593141587,-1.4262041238547467,0.02913255943161301,2013,,,,,,,,,,,
Marcus Cannon,-0.3301696430641644,1.22413338364769,2.546191682945379,1.568449621406246,-0.6213408747556761,1.8875318531016598,-0.9751599499585951,2.194772005098446,0.02913255943161301,2011,19,5,138,0,2,3,49,138,12,131,64
Craig Bragg,-1.196775430716313,-0.303522641512854,-1.0435818801711318,-1.0444644996542696,0.790429317860252,NaN,NaN,NaN,NaN,2005,5,6,195,0,3,0,27,195,16,117,69
Anthony Kimble,-0.7634725368902386,-0.68543664780299,-0.6003999587987231,-0.7831730875482177,0.790429317860252,-0.6242996709993085,0.843298042132339,0.3842839406218497,0.02913255943161301,2009,,,,,,,,,,,
Scott Ravanesi,1.8363448260662072,-0.68543664780299,-1.154377360514234,0.22933113436273106,NaN,NaN,NaN,NaN,NaN,2010,,,,,,,,,,,
D.J. Jones,-0.11351819615112724,-0.303522641512854,1.6819869362691817,0.849898238114605,-1.0919309389609855,0.6316160910511757,-0.6542555984131362,0.3842839406218497,0.02913255943161301,2017,,,,1,1,4,36,198,16,162,59
Justin Hardy,-1.196775430716313,-1.449264660383262,-1.1322182644456136,-0.7178502345217062,0.790429317860252,-1.5662364925371717,-0.012446895322218222,-1.4262041238547467,0.02913255943161301,2015,21,4,107,0,3,0,77,107,14,78,73
Greg Eslinger,1.6196933791531698,0.460305371067418,1.08369134241643,1.1438510767339125,-0.6213408747556761,1.1025845018201073,-1.4030324186858738,0.3842839406218497,0.02913255943161301,2006,13,6,198,0,2,14,57,198,3,92,73
Jordan Lomax,1.1863904853270957,-1.449264660383262,-0.9106273037594091,-0.0972831307698323,0.790429317860252,-2.0372049033061033,0.6293618077686998,0.3842839406218497,0.02913255943161301,2016,,,,,,12,23,,25,323,33
Mekale McKay,-1.196775430716313,0.842219377357554,-0.799831823416307,-0.7505116610349619,0.5551342857575973,-1.409247022280861,0.9502661593141587,0.3842839406218497,0.02913255943161301,2016,,,,,,,,,,,
Lamar Mady,0.31978469767494705,0.07839136477728198,1.6376687441319409,2.28700100469789,-2.2684060994742588,2.201510793614281,-2.0448411217767917,2.194772005098446,0.02913255943161301,2013,,,,,,,,,,,
Jalston Fowler,2.0529962729792444,-1.067350654093126,0.24164569180885348,0.5232839729820415,0.0845442215522879,0.31763715053855457,-0.012446895322218222,0.3842839406218497,0.02913255943161301,2015,10,4,108,0,5,16,6,108,1,149,55
Daniel Carlson,2.2696477198922813,1.22413338364769,-0.6668772470045844,NaN,NaN,NaN,NaN,NaN,NaN,2018,,,,2,9,14,18,167,1,158,60
Kolby Listenbee,-1.196775430716313,-0.68543664780299,-1.0214227841025114,-1.2730944852470656,0.5551342857575973,-0.9382786115119296,1.5920748624050767,NaN,NaN,2016,7,6,192,0,3,0,49,192,18,158,59
Dion Lewis,-0.7634725368902386,-2.59500667925367,-1.1100591683769931,-0.7178502345217062,0.3198392536549426,-0.6242996709993085,-0.22638312968585753,-1.4262041238547467,0.02913255943161301,2011,8,5,149,0,5,1,39,149,10,101,72
Troy Fumagalli,0.7530875915010213,1.22413338364769,0.08653201932851042,NaN,NaN,-1.09526808176824,NaN,NaN,NaN,2018,,,,0,6,8,64,156,10,168,58
Roy Miller,-0.11351819615112724,-0.303522641512854,1.4825550716515978,0.4906225464687829,-0.1507508105503668,2.3585002638705914,-1.1890961843222345,2.194772005098446,0.02913255943161301,2009,17,3,81,1,1,4,16,81,12,110,66
Jason Snelling,2.0529962729792444,-1.067350654093126,-0.290172613838037,0.03336257528319362,-0.6213408747556761,NaN,-0.3333512468676772,0.3842839406218497,0.02913255943161301,2007,21,7,244,0,5,1,41,244,4,248,38
Edmund Kugbila,0.31978469767494705,0.842219377357554,1.6376687441319409,1.1438510767339125,-2.5037011315769138,0.31763715053855457,-0.9751599499585951,0.3842839406218497,0.02913255943161301,2013,9,4,108,0,2,7,261,108,14,192,52
Terrance Copper,-1.196775430716313,-0.68543664780299,-0.7776727273476866,-0.8158345140614734,0.5551342857575973,NaN,0.2014893390414211,0.3842839406218497,0.02913255943161301,2004,,,,,,,,,,,
Anthony Arline,-0.9801239838032758,0.07839136477728198,-0.9771045919652704,-1.1424487791940396,0.3198392536549426,-1.409247022280861,1.0572342764959783,0.3842839406218497,0.02913255943161301,2007,,,,,,6,52,,15,111,69
Stephen Burton,-1.196775430716313,-0.303522641512854,-0.4896044784556209,-0.9138187936012436,0.3198392536549426,-0.3103207304866875,0.3084574562232408,0.3842839406218497,0.02913255943161301,2011,3,7,236,0,3,0,115,236,32,252,39
Jay Ross,-0.11351819615112724,0.460305371067418,1.5490323598574591,1.0458667971941424,-0.1507508105503668,1.4165634423327282,-1.5100005358676933,0.3842839406218497,0.02913255943161301,2010,,,,,,,,,,,
D.J. Harper,-0.7634725368902386,-1.831178666673398,-0.7111954391418253,-0.8484959405747321,0.0845442215522879,0.31763715053855457,0.6293618077686998,0.3842839406218497,0.02913255943161301,2013,,,,,,,,,,,
C.J. Anderson,-0.7634725368902386,-2.213092672963534,-0.4231271902497596,-0.5872045284686802,-0.1507508105503668,-0.6242996709993085,0.5223936905868801,0.3842839406218497,0.02913255943161301,2013,,,,,,,,,,,
John Phillips,0.7530875915010213,1.22413338364769,0.17516840360299216,7.011487699378623E-4,0.0845442215522879,-0.15333126023037696,-0.22638312968585753,-1.4262041238547467,0.02913255943161301,2009,14,6,208,0,6,8,41,208,11,154,58
Lamin Barrow,0.9697390384140585,-0.303522641512854,-0.13505894135769395,-0.4565588224156543,0.5551342857575973,0.16064768028224408,0.9502661593141587,0.3842839406218497,0.02913255943161301,2014,13,5,156,1,4,10,1,156,14,150,57
Gabe Jackson,0.31978469767494705,0.460305371067418,2.0586915694357293,1.8297410335122979,-0.8566359068583308,1.4165634423327282,-0.6542555984131362,2.194772005098446,0.02913255943161301,2014,23,3,81,0,2,7,30,81,3,73,73
Jerick McKinnon,-0.7634725368902386,-1.831178666673398,-0.7555136312790661,-1.2077716322205512,1.7316094462708707,1.7305423828453492,1.9129792139505357,-1.4262041238547467,0.02913255943161301,2014,3,3,96,0,5,1,187,96,15,178,51
Adewale Ogunleye,-0.5468210899772016,0.842219377357554,0.21948659574023302,NaN,NaN,NaN,NaN,NaN,NaN,2000,,,,,,,,,,,
Kyle Christy,1.8363448260662072,0.07839136477728198,-0.9106273037594091,0.4906225464687829,NaN,NaN,NaN,NaN,NaN,2015,,,,,,15,4,,3,318,32
Marquis Haynes,2.7029506137183557,0.460305371067418,-0.1793771334949348,-0.35857454287588414,-0.1507508105503668,0.31763715053855457,0.9502661593141587,0.3842839406218497,0.02913255943161301,2018,,,,1,4,10,36,136,21,244,44
Clenton Ballard,-0.11351819615112724,0.07839136477728198,1.5490323598574591,1.3071582093001943,-1.5625210031662948,0.4746266207948651,-2.258777356140431,0.3842839406218497,0.02913255943161301,2002,,,,1,1,4,139,180,,,
Lavonte David,0.1031332507619099,-0.303522641512854,-0.22369532563217567,-0.6851888080084475,0.790429317860252,-0.3103207304866875,0.5223936905868801,0.3842839406218497,0.02913255943161301,2012,17,2,58,1,4,10,19,58,2,36,88
Tharold Simon,-0.9801239838032758,0.07839136477728198,-0.9106273037594091,-0.8811573670879879,0.3198392536549426,-1.8802154330497927,1.485106745223257,NaN,NaN,2013,0,5,138,1,0,6,1,138,33,,40
Shaq Thompson,0.1031332507619099,-0.68543664780299,-0.33449080597527786,-0.4565588224156543,0.0845442215522879,NaN,0.3084574562232408,-1.4262041238547467,0.02913255943161301,2015,9,1,25,1,4,10,35,25,8,69,78
Jason Kelce,1.6196933791531698,0.460305371067418,0.8177821895929848,0.359976840415757,-0.6213408747556761,NaN,-0.44031936404949684,0.3842839406218497,0.02913255943161301,2011,8,6,191,0,2,14,69,191,9,,30
Marcell Harris,2.4862991668053187,-0.68543664780299,-0.7776727273476866,NaN,NaN,-0.7812891412556191,NaN,NaN,NaN,2018,,,,1,0,12,4,184,28,330,31
Selvish Capers,-0.3301696430641644,1.22413338364769,1.438236879514357,1.078528223707401,-0.6213408747556761,-0.3103207304866875,-0.8681918327767755,0.3842839406218497,0.02913255943161301,2010,28,7,231,0,2,3,46,231,9,,69
Kerry Wynn,-0.5468210899772016,1.22413338364769,0.5075548446322987,0.6212682525218088,0.3198392536549426,1.5735529125890388,-0.11941501250403788,NaN,NaN,2014,,,,,,2,104,,23,246,40
Dwayne Wright,-0.7634725368902386,-1.067350654093126,-0.33449080597527786,-0.3912359693891399,0.3198392536549426,-1.09526808176824,0.09452122185960143,0.3842839406218497,0.02913255943161301,2007,7,4,111,0,5,1,56,111,12,136,64
Joe Thuney,-0.3301696430641644,1.22413338364769,1.3496004952398752,0.5559453994952973,-1.0919309389609855,1.1025845018201073,-0.44031936404949684,0.3842839406218497,0.02913255943161301,2016,19,3,78,0,2,7,43,78,10,167,58
Jerome Mathis,-1.196775430716313,-1.067350654093126,-1.3759683212004383,-1.6323701768928849,0.5551342857575973,NaN,0.9502661593141587,NaN,NaN,2005,16,4,114,0,3,0,109,114,9,62,82
Detrick Bonner,1.1863904853270957,-0.68543664780299,-0.799831823416307,-0.7178502345217062,NaN,-0.9382786115119296,NaN,NaN,NaN,2015,,,,,,,,,,,
Mario Fatafehi,-0.11351819615112724,0.07839136477728198,1.1501686306222914,1.6664339009460163,NaN,NaN,NaN,NaN,NaN,2001,11,5,133,1,1,4,40,133,,,
Victor Hampton,-0.9801239838032758,-1.831178666673398,-1.0214227841025114,-0.2932516898493697,0.0845442215522879,-0.15333126023037696,0.4154255734050604,0.3842839406218497,0.02913255943161301,2014,,,,,,,,,,,
David Terrell,-1.196775430716313,0.460305371067418,-0.6668772470045844,-1.1424487791940396,NaN,NaN,NaN,NaN,NaN,2001,26,1,8,0,3,0,13,8,,,
Jeremiah Johnson,-0.7634725368902386,-1.831178666673398,-0.7555136312790661,-0.6851888080084475,0.5551342857575973,-0.15333126023037696,0.09452122185960143,NaN,NaN,2009,,,,,,1,0,,13,143,59
Mark Herzlich,0.1031332507619099,0.842219377357554,0.020054731122649116,0.4252996934422714,-0.1507508105503668,1.2595739720764176,-0.22638312968585753,0.3842839406218497,0.02913255943161301,2011,,,,,,10,37,,10,161,58
Emile White,1.4030419322401328,-0.68543664780299,-0.5339226705928618,-0.32591311636262843,0.3198392536549426,-0.7812891412556191,-0.3333512468676772,0.3842839406218497,NaN,2001,,,,,,,,,,,
Vernon Carey,0.31978469767494705,0.842219377357554,2.036532473367109,1.7970796069990422,NaN,1.4165634423327282,NaN,NaN,NaN,2004,18,1,19,0,2,3,8,19,1,31,89
Rob Morris,0.9697390384140585,0.07839136477728198,0.15300930753437172,-0.031960277743320796,0.0845442215522879,-0.467310200742998,-0.11941501250403788,-1.4262041238547467,0.02913255943161301,2000,22,1,28,1,4,9,55,28,,,
Boseko Lokombo,0.1031332507619099,0.07839136477728198,-0.40096809418113916,-0.3912359693891399,NaN,NaN,0.843298042132339,0.3842839406218497,0.02913255943161301,2014,,,,,,,,,,,
Manaia Brown,-0.11351819615112724,0.460305371067418,1.283123207034014,1.0458667971941424,0.3198392536549426,0.003658210025933549,-0.3333512468676772,0.3842839406218497,0.02913255943161301,2006,,,,,,,,,,,
Walter Thurmond,-0.9801239838032758,-1.067350654093126,-1.1986955526514749,-0.8158345140614734,NaN,NaN,NaN,NaN,NaN,2010,0,4,111,1,0,6,26,111,15,,64
Mike Mickens,-0.9801239838032758,-1.067350654093126,-1.309491032994577,-0.8158345140614734,NaN,NaN,NaN,NaN,NaN,2009,14,7,227,1,0,6,69,227,17,132,61
Aldrick Robinson,-1.196775430716313,-1.449264660383262,-1.309491032994577,-1.4037401913000915,1.7316094462708707,-0.6242996709993085,1.2711705108596176,-1.4262041238547467,0.02913255943161301,2011,28,6,178,0,3,0,100,178,20,166,57
Rasheem Green,-0.5468210899772016,1.22413338364769,0.7069867092498826,-0.16260598379634383,-0.1507508105503668,NaN,0.4154255734050604,0.3842839406218497,0.02913255943161301,2018,,,,1,1,2,3,79,3,63,79
Ed Dickson,0.7530875915010213,0.842219377357554,0.1308502114657513,-0.619865954981936,0.3198392536549426,0.31763715053855457,0.09452122185960143,0.3842839406218497,0.02913255943161301,2010,1,3,70,0,6,8,26,70,6,91,72
John McCargo,-0.11351819615112724,-0.303522641512854,1.3052823031026344,1.209173929760427,-0.6213408747556761,0.6316160910511757,-0.44031936404949684,0.3842839406218497,0.02913255943161301,2006,7,1,26,1,1,4,43,26,6,62,82
Carl Stewart,2.0529962729792444,-0.303522641512854,-0.290172613838037,-0.3912359693891399,1.4963144141682159,1.4165634423327282,2.126915448314175,0.3842839406218497,0.02913255943161301,2008,,,,,,,,,,,
Mohamed Sanu,-1.196775430716313,-0.303522641512854,-0.7111954391418253,-0.5218816754421659,0.790429317860252,-0.3103207304866875,1.2711705108596176,-1.4262041238547467,0.02913255943161301,2012,12,3,83,0,3,0,67,83,15,109,68
Drew Strojny,-0.3301696430641644,1.987961396227962,1.8592597048181452,1.9277253130520682,-0.8566359068583308,NaN,-1.616968653049513,0.3842839406218497,0.02913255943161301,2004,,,,0,2,,,,,,
Jordan White,-1.196775430716313,-0.68543664780299,-0.7776727273476866,-0.4892202489289101,0.5551342857575973,-1.09526808176824,0.5223936905868801,-1.4262041238547467,0.02913255943161301,2012,25,7,244,0,3,0,107,244,38,252,35
Scott Tolzien,0.5364361445879842,0.07839136477728198,-0.6890363430732048,0.4579611199555272,-0.8566359068583308,NaN,0.2014893390414211,-1.4262041238547467,0.02913255943161301,2011,,,,,,11,0,,14,297,32
Brandon Jones,-1.196775430716313,-0.303522641512854,-0.7333545352104457,-1.1751102057072955,1.0257243499629065,NaN,-0.012446895322218222,0.3842839406218497,0.02913255943161301,2005,10,3,96,0,3,0,10,96,26,198,55
Lawrence Guy,-0.11351819615112724,0.842219377357554,1.3717595913084957,0.5886068260085531,-0.8566359068583308,1.1025845018201073,NaN,0.3842839406218497,0.02913255943161301,2011,5,7,233,1,1,4,29,233,13,123,66
Anthony Hitchens,0.1031332507619099,-0.68543664780299,-0.06858165315183262,-0.12994455728308807,-0.38604584265302144,0.31763715053855457,0.2014893390414211,0.3842839406218497,0.02913255943161301,2014,14,4,119,1,4,10,23,119,33,,30
Devin Thomas,-1.196775430716313,0.07839136477728198,-0.6003999587987231,-1.2077716322205512,-1.0919309389609855,NaN,1.2711705108596176,0.3842839406218497,0.02913255943161301,2008,28,2,34,0,3,0,31,34,2,24,91
D'Brickashaw Ferguson,-0.3301696430641644,1.606047389937826,1.5268732637888387,0.9805439441676309,NaN,NaN,NaN,NaN,NaN,2006,25,1,4,0,2,3,41,4,1,3,98
John Schlecht,-0.11351819615112724,-0.68543664780299,1.1501686306222914,0.5559453994952973,-0.38604584265302144,0.9455950315637967,-1.4030324186858738,0.3842839406218497,0.02913255943161301,2001,,,,,,,,,,,
Jacoby Glenn,-0.9801239838032758,-0.68543664780299,-1.4202865133376792,-0.4565588224156543,0.3198392536549426,NaN,0.9502661593141587,-1.4262041238547467,0.02913255943161301,2015,,,,,,6,70,,26,160,45
Connor Williams,-0.3301696430641644,1.22413338364769,1.1723277266909118,0.8825596646278607,0.3198392536549426,0.7886055613074862,-0.22638312968585753,0.3842839406218497,0.02913255943161301,2018,,,,0,2,7,16,50,3,37,86
Mike Nugent,2.2696477198922813,-1.449264660383262,-1.353809225131818,-0.19526741030960248,NaN,NaN,NaN,NaN,NaN,2005,25,2,47,2,9,17,2,47,1,107,70
Jaymar Johnson,-1.196775430716313,-1.067350654093126,-1.46460470547492,-0.9138187936012436,-0.1507508105503668,-1.09526808176824,0.4154255734050604,-1.4262041238547467,0.02913255943161301,2008,3,6,193,0,3,0,120,193,59,,30
Will Smith,-0.5468210899772016,0.460305371067418,0.7069867092498826,-0.5872045284686802,NaN,NaN,NaN,NaN,NaN,2004,27,1,18,1,4,13,63,238,48,,30
Jordan Carstens,-0.11351819615112724,1.22413338364769,1.3717595913084957,0.719252532061579,-1.0919309389609855,1.1025845018201073,-0.8681918327767755,2.194772005098446,0.02913255943161301,2004,,,,,,,,,,,
Calvin Ridley,-1.196775430716313,-0.68543664780299,-1.1986955526514749,-1.1424487791940396,-0.38604584265302144,-0.9382786115119296,-0.44031936404949684,-1.4262041238547467,0.02913255943161301,2018,,,,0,3,0,6,26,1,20,90
Josh Johnson-01,0.5364361445879842,0.460305371067418,-0.6668772470045844,-0.8158345140614734,0.0845442215522879,NaN,-0.44031936404949684,0.3842839406218497,0.02913255943161301,2008,17,5,160,,,,,,,,
Mike Evans,-1.196775430716313,1.22413338364769,-0.26801351776941656,-0.8158345140614734,1.0257243499629065,-1.409247022280861,NaN,0.3842839406218497,0.02913255943161301,2014,17,1,7,1,1,0,17,7,2,7,94
Shaunard Harts,1.4030419322401328,-0.68543664780299,-0.95494549589665,-0.7178502345217062,0.3198392536549426,-1.409247022280861,0.5223936905868801,0.3842839406218497,NaN,2001,29,7,212,1,0,5,53,212,,,
Jordan Akins,0.7530875915010213,0.460305371067418,0.1308502114657513,NaN,NaN,NaN,NaN,NaN,NaN,2018,,,,0,6,8,70,98,8,152,61
